Disco JANNOY,JANNOY,,,,AV. CORDOBA 2988
Disco CLUB DORADO,CLUB DORADO,,,,AV. HIPOLITO YRIGOYEN 947
Disco HONDURAS HOLLYWOOD,HONDURAS HOLLYWOOD,,,,HONDURAS 5535
Disco WET CLUB,WET CLUB,,,,AV. NICETO VEGA 5534/36
Disco TEQUILA,TEQUILA,,,,AV. RAFAEL OBLIGADO 6211
Disco MAGNOLIA,MAGNOLIA,,,,A.  MOREAU DE JUSTO 1007
Disco NON SERVIAM,NON SERVIAM,,,,SARMIENTO  667
Disco THE CHURCH,"THE CHURCH, church",,,,SUIPACHA  842
Disco MODENA DESIGN,"MODENA DESIGN, modena",,,,FIGUEROA ALCORTA  2270
Disco NIX/PREVIOUS,"NIX/PREVIOUS, nix, previous",,,,HIPOLITO YRIGOYEN  847/49/851
Disco NEO CLUB,NEO CLUB,,,,SANTOS DUMONT 4056/60
Disco GROOVE,GROOVE,,,,AV. SANTA FE  4389/99
Disco MOD,MOD,,,,BALCARCE  563
Disco AMBAR,AMBAR,,,,AV. BEIRO 3124/28
Disco TERRAZAS DEL ESTE,TERRAZAS DEL ESTE,,,,R. OBLIGADO Y SARMIENTO 
Disco DISCO SIX,DISCO SIX,,,,AV. CABILDO 3241
Disco YOUR CLUB,YOUR CLUB,,,,SUIPACHA  586
Disco WANNA,WANNA,,,,DARWIN  1574
Disco RIVDADAVIA 9131,"RIVDADAVIA 9131, 9131",,,,Av. RIVADAVIA 9131
Disco PIZZA BANANA,PIZZA BANANA,,,,AV. RAFAEL OBLIGADO 6201
Disco WHO,WHO,,,,EMMA DE LA BARRA 333
Disco BOUTIQUE,BOUTIQUE,,,,PERU  529/35/41
Disco OPIUM GARDEN,"OPIUM GARDEN, opium",,,,AV. JUAN B. JUSTO  1659/75
Disco VIEJO CORREO,VIEJO CORREO,,,,AV. DIAZ VELEZ 4820
Disco ROSEBAR,ROSEBAR,,,,HONDURAS 5445
Disco OYE CHICO,OYE CHICO,,,,MONTEVIDEO  306/50
Disco ONE MORE,ONE MORE,,,,AV. BEIRO 3334/6
Disco BROOK,BROOK,,,,AV. JUAN B. JUSTO  1574
Disco RABBIT,RABBIT,,,,Av. SCALABRINI ORTIZ 1648/50
Disco VOODOO MOTEL,"VOODOO MOTEL, voodoo",,,,Av. DORREGO 1735/9
Disco POUND,POUND,,,,Av. SARMIENTO Y CASARES 
